,0
1206,332.86
1207,329.06
1208,324.12
1209,321.73
1210,327.68
1211,326.62
1212,326.89
1213,323.5
1214,328.77
1215,331.72
1216,331.34
1217,331.3
1218,331.95
1219,330.92
1220,328.19
1221,327.45
1222,327.95
1223,325.71
1224,326.65
1225,324.45
1226,322.73
1227,323.64
1228,322.41
1229,324.87
1230,321.86
1231,321.08
1232,322.86
1233,322.94
1234,321.23
1235,321.22
1236,320.73
1237,320.9
1238,319.59
1239,319.57
1240,319.5
1241,317.32
1242,317.13
1243,314.42
1244,313.53
1245,313.88
1246,314.87
1247,312.02
1248,311.46
1249,309.55
1250,311.64
1251,314.31
1252,315.48
1253,314.08
1254,313.37
1255,310.96
1256,310.27
1257,310.77
1258,311.93
1259,312.02
